cause_of_death,community_area,community_area_name,cumulative_deaths_2004_2008,cumulative_deaths_rank,average_annual_deaths_2004_2008,average_crude_rate_2004_2008,crude_rate_lower_ci,crude_rate_upper_ci,crude_rate_rank,average_adjusted_rate_2004_2008,adjusted_rate_lower_ci,adjusted_rate_upper_ci,adjusted_rate_rank,average_annual_years_of_potential_life_lost_rate_2004_2008,ypll_rate_rank,warning
Breast cancer in females,29,North Lawndale,38,11,8,37.7,26.7,51.7,15,43.4,30.7,58.3,4,561,9,
Breast cancer in females,30,South Lawndale,12,56,2,6.9,3.6,12.1,76,11.6,5.9,19.3,76,91,73,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,31,Lower West Side,16,45,3,18.1,10.3,29.4,55,25.7,14.6,39.9,33,357,32,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,32,Loop,10,61,2,14.9,7.1,27.4,64,17,7.8,29.6,66,185,58,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,33,Near South Side,13,52,3,25.9,13.8,44.3,37,26.9,14.2,43.6,28,380,27,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,34,Armour Square,7,68,1,20.5,8.2,42.2,47,13,5.2,24.3,75,132,68,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,35,Douglas,25,30,5,46.4,30,68.5,8,38.3,24.3,55.6,9,492,14,
Breast cancer in females,36,Oakland,3,74,1,17.3,3.6,50.6,59,20.2,4.1,48.8,50,290,41,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,37,Fuller Park,2,76,0,25.8,3.1,93.2,38,18,2.2,50.3,62,352,33,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,38,Grand Boulevard,14,49,3,21.4,11.7,35.9,44,20.1,10.8,32.1,51,364,29,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,39,Kenwood,22,35,4,42.9,26.9,65,12,35.6,21.9,52.5,12,634,7,
Breast cancer in females,40,Washington Park,7,68,1,20.3,8.2,41.8,49,27.2,10.8,51,27,211,56,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,41,Hyde Park,26,26,5,37.5,24.5,54.9,17,35.2,22.8,50.2,13,408,25,
Breast cancer in females,42,Woodlawn,23,32,5,34.1,21.6,51.2,21,34.1,21.5,49.5,15,502,12,
Breast cancer in females,43,South Shore,56,5,11,36.9,27.9,47.9,18,33.7,25.4,43.2,16,660,5,
Breast cancer in females,44,Chatham,52,6,10,56.8,42.4,74.5,3,39,28.9,50.6,7,546,10,
Breast cancer in females,45,Avalon Park,13,52,3,44.5,23.7,76.1,10,27.3,14.4,44.2,26,321,40,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,46,South Chicago,30,21,6,33.9,22.9,48.4,22,32.4,21.7,45.2,17,456,20,
Breast cancer in females,47,Burnside,0,77,0,0,0,,77,0,,,77,0,77,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,48,Calumet Heights,20,39,4,50.5,30.8,78,4,37.8,22.3,57.4,10,764,3,
Breast cancer in females,49,Roseland,64,2,13,50,38.5,63.8,5,39.4,30.2,49.8,6,655,6,
Cancer (all sites),5,North Center,153,59,31,96,80.8,111.2,66,148.8,125.7,173.9,62,951,67,
Breast cancer in females,50,Pullman,13,52,3,61.5,32.7,105.2,2,51.5,27.1,83.6,1,702,4,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,51,South Deering,12,56,2,28.7,14.8,50.1,32,24.9,12.8,41,39,434,24,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,52,East Side,10,61,2,17.1,8.2,31.4,60,17.5,8.3,30,65,172,59,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,53,West Pullman,25,30,5,29.7,19.2,43.8,29,26.7,17,38.5,29,437,22,
Breast cancer in females,54,Riverdale,3,74,1,14.4,3,42.1,68,21.5,4.3,52.3,48,253,44,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,55,Hegewisch,9,65,2,37.6,17.2,71.4,16,25.3,11.5,44.6,37,130,69,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,56,Garfield Ridge,35,14,7,39,27.2,54.2,14,27.5,18.9,37.8,25,258,43,
Breast cancer in females,57,Archer Heights,7,68,1,21.3,8.6,43.9,46,19.6,7.7,37,54,140,67,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,58,Brighton Park,18,41,4,16.4,9.7,25.9,62,23.4,13.7,35.7,41,243,45,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Cancer (all sites),44,Chatham,467,13,93,289.4,263.2,315.6,8,215.2,196,235.4,26,2249,20,
Breast cancer in females,59,McKinley Park,8,66,2,20.5,8.9,40.4,47,24.7,10.6,44.7,40,172,59,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,60,Bridgeport,15,48,3,18.5,10.4,30.5,54,17.7,9.9,27.7,64,160,64,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,61,New City,20,39,4,17.6,10.8,27.2,58,25.5,15.5,38,36,234,49,
Breast cancer in females,62,West Elsdon,8,66,2,18,7.8,35.5,57,19.4,8.2,35.2,58,170,61,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,63,Gage Park,11,60,2,11.3,5.6,20.2,71,18,8.8,30.5,62,159,65,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,64,Clearing,18,41,4,30.6,18.1,48.4,28,25.6,15.1,38.9,35,360,31,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,65,West Lawn,12,56,2,14.7,7.6,25.7,66,16.8,8.6,27.7,67,226,51,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,66,Chicago Lawn,30,21,6,20.3,13.7,29,49,25,16.7,35,38,386,26,
Breast cancer in females,67,West Englewood,32,19,6,31.9,21.8,45,24,30.5,20.8,42.1,20,468,18,
Breast cancer in females,68,Englewood,28,25,6,31.3,20.8,45.2,25,30.7,20.4,43.1,19,454,21,
Breast cancer in females,69,Greater Grand Crossing,34,16,7,36,24.9,50.3,19,29.7,20.3,40.8,21,332,37,
Breast cancer in females,70,Ashburn,42,9,8,39.5,28.5,53.4,13,38.6,27.7,51.2,8,480,16,
Breast cancer in females,71,Auburn Gresham,61,3,12,43.5,33.3,55.9,11,37.5,28.5,47.7,11,593,8,
Breast cancer in females,72,Beverly,26,26,5,48.6,31.7,71.2,6,41.4,26.7,59.1,5,1000,1,
Breast cancer in females,73,Washington Heights,48,7,10,63.5,46.8,84.2,1,48.5,35.3,63.8,3,946,2,
Breast cancer in females,74,Mount Greenwood,16,45,3,33.1,18.9,53.8,23,28.7,16.2,44.6,22,466,19,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,75,Morgan Park,30,21,6,47.6,32.1,68,7,35,23.2,49.2,14,499,13,
Breast cancer in females,76,O'Hare,6,72,1,19.1,7,41.6,53,13.7,5,26.8,74,87,74,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Breast cancer in females,77,Edgewater,33,17,7,23.4,16.1,32.9,41,21.3,14.6,29.2,49,344,36,
Breast cancer in females,0,Chicago,1802,,360,25.6,24.4,26.8,,26.1,24.9,27.4,,326,,
Cancer (all sites),1,Rogers Park,358,25,72,126.3,113.2,139.4,56,182.3,163.3,202.3,42,1318,49,
Cancer (all sites),6,Lake View,419,16,84,88.7,80.2,97.2,70,138.9,125.7,152.8,71,622,77,
Cancer (all sites),7,Lincoln Park,298,33,60,92.9,82.4,103.4,67,149.3,132.4,167.2,61,666,76,
Cancer (all sites),8,Near North Side,574,5,115,145.4,133.5,157.3,50,141,129.5,153,70,1099,58,
Cancer (all sites),9,Edison Park,140,62,28,250,208.6,291.4,18,183.5,154,215.5,40,1557,36,
Cancer (all sites),10,Norwood Park,532,7,106,286.4,262.1,310.7,9,178.3,162.7,194.6,45,1846,29,
Cancer (all sites),11,Jefferson Park,318,29,64,249.1,221.7,276.5,19,199.5,178.1,222.2,33,1687,32,
Cancer (all sites),12,Forest Glen,176,54,35,190.9,162.7,219.1,37,142.3,121.8,164.4,68,1365,46,
Cancer (all sites),13,North Park,173,55,35,191.7,163.1,220.3,36,142.6,121.9,165.1,66,1041,61,
Cancer (all sites),14,Albany Park,307,32,61,116.4,103.4,129.4,63,166.2,147.7,185.8,51,1246,51,
Cancer (all sites),15,Portage Park,532,7,106,165.3,151.3,179.3,41,168.6,154.4,183.4,48,1466,40,
Cancer (all sites),16,Irving Park,353,26,71,129.7,116.2,143.2,54,168.5,151,186.9,49,1238,52,
Cancer (all sites),17,Dunning,499,10,100,237.7,216.8,258.6,21,187.6,171.4,204.6,38,1680,33,
Cancer (all sites),18,Montclaire,113,67,23,170.3,138.9,201.7,40,157.1,129.1,187.8,55,1298,50,
Cancer (all sites),19,Belmont Cragin,391,20,78,99.5,89.6,109.4,64,149.8,135,165.5,60,976,64,
Cancer (all sites),20,Hermosa,96,71,19,75.6,61.2,92.3,76,135.4,108.3,165.6,74,750,75,
Cancer (all sites),21,Avondale,186,50,37,92.9,79.5,106.3,67,145.9,125.1,168.3,64,762,74,
Cancer (all sites),22,Logan Square,308,31,62,82.4,73.2,91.6,72,146,129.4,163.5,63,997,63,
Cancer (all sites),23,Humboldt park,384,22,77,131.9,118.7,145.1,52,203.8,182.4,226.3,31,1689,31,
Cancer (all sites),24,West Town,342,27,68,82.1,73.4,90.8,73,142.6,127.5,158.4,66,835,71,
Cancer (all sites),25,Austin,1143,1,229,223.4,210.4,236.4,26,254.5,239.3,270,11,2537,11,
Cancer (all sites),26,West Garfield Park,229,43,46,241,209.8,272.2,20,287.2,250.6,326.2,1,2634,8,
Cancer (all sites),27,East Garfield Park,202,47,40,195.8,168.8,222.8,33,242.5,209.7,277.5,13,2206,21,
Cancer (all sites),28,Near West Side,318,29,64,119.6,106.5,132.7,59,201.1,179.1,224.4,32,1199,53,
Cancer (all sites),29,North Lawndale,386,21,77,208.2,187.4,229,31,263,237.2,290.2,6,2449,14,
Cancer (all sites),30,South Lawndale,248,40,50,60.8,53.2,68.4,77,128.1,111.4,145.9,76,817,72,
Cancer (all sites),31,Lower West Side,153,59,31,81.8,68.8,94.8,74,138.4,116.7,162,72,907,69,
Cancer (all sites),32,Loop,121,64,24,90.6,74.5,106.7,69,126,103.3,150.8,77,766,73,
Cancer (all sites),33,Near South Side,113,67,23,118.9,97,140.8,61,145.1,119,173.9,65,1163,54,
Cancer (all sites),34,Armour Square,150,61,30,228.7,192.1,265.3,24,159.6,134.9,186.3,53,1344,48,
Cancer (all sites),35,Douglas,291,35,58,292.7,259.1,326.3,7,258.9,229.6,290,8,2327,19,
Cancer (all sites),36,Oakland,44,76,9,147.7,107.3,198.3,49,193.9,140.2,256.3,36,1625,34,
Cancer (all sites),37,Fuller Park,48,74,10,321.6,237.1,426.4,2,265.2,194.3,347,5,2896,1,
Cancer (all sites),38,Grand Boulevard,260,38,52,224.7,197.4,252,25,216.4,190.8,243.6,25,1886,27,
Cancer (all sites),39,Kenwood,213,45,43,237.4,205.5,269.3,22,197.5,171.7,225.2,34,1920,24,
Cancer (all sites),40,Washington Park,114,66,23,186.8,152.5,221.1,39,268,219.9,320.8,4,2507,13,
Cancer (all sites),41,Hyde Park,203,46,41,153,132,174,48,153.7,133,175.8,58,970,65,
Cancer (all sites),42,Woodlawn,265,37,53,217.1,191,243.2,30,240.6,212.3,270.6,16,1890,26,
Cancer (all sites),43,South Shore,675,3,135,250.4,231.5,269.3,17,240.9,222.9,259.6,15,2599,9,
Cancer (all sites),45,Avalon Park,163,58,33,314.1,265.9,362.3,4,228.1,193.9,265,20,2675,6,
Cancer (all sites),46,South Chicago,362,24,72,221.6,198.8,244.4,27,228.1,205,252.5,20,2397,16,
Cancer (all sites),47,Burnside,41,77,8,274.1,196.7,371.8,13,242,172.6,322.9,14,1868,28,
Cancer (all sites),48,Calumet Heights,226,44,45,317.3,275.9,358.7,3,213,185.3,242.6,27,2514,12,
Cancer (all sites),49,Roseland,708,2,142,306.2,283.6,328.8,5,258.7,239.9,278.3,9,2804,3,
Cancer (all sites),50,Pullman,106,69,21,277.3,224.5,330.1,11,268.9,219,323.7,3,2565,10,
Cancer (all sites),51,South Deering,170,56,34,219.6,186.6,252.6,29,207.7,177.4,240.4,29,1956,23,
Cancer (all sites),52,East Side,183,51,37,158,135.1,180.9,46,182.7,157.1,210.2,41,1129,56,
Cancer (all sites),53,West Pullman,394,18,79,253.8,228.7,278.9,15,261.4,235.2,288.9,7,2855,2,
Cancer (all sites),54,Riverdale,47,75,9,131.5,96.6,174.9,53,233.4,169.7,307.1,19,1892,25,
Cancer (all sites),55,Hegewisch,131,63,26,275.9,228.7,323.1,12,224.5,187.5,264.7,23,1578,35,
Cancer (all sites),56,Garfield Ridge,496,11,99,284.8,259.7,309.9,10,225,205.4,245.5,22,1999,22,
Cancer (all sites),57,Archer Heights,85,72,17,128.4,102.6,158.8,55,154,122.8,188.6,57,1016,62,
Cancer (all sites),58,Brighton Park,181,53,36,80,68.3,91.7,75,138.2,118.2,159.8,73,890,70,
Cancer (all sites),59,McKinley Park,77,73,15,98.2,77.5,122.7,65,131.5,103.3,163.1,75,1097,59,
Cancer (all sites),60,Bridgeport,256,39,51,158.4,139,177.8,45,177.4,156,200.1,46,1401,43,
Cancer (all sites),61,New City,283,36,57,123.5,109.1,137.9,57,209,184.4,235,28,1381,44,
Cancer (all sites),62,West Elsdon,119,65,24,134.7,110.5,158.9,51,168,138.9,199.8,50,959,66,
Cancer (all sites),63,Gage Park,169,57,34,85,72.2,97.8,71,173.4,147.1,201.9,47,928,68,
Cancer (all sites),64,Clearing,235,42,47,204.5,178.4,230.6,32,194.8,170.6,220.6,35,1507,39,
Cancer (all sites),65,West Lawn,199,48,40,122.3,105.3,139.3,58,159.4,137.8,182.6,54,1073,60,
Cancer (all sites),66,Chicago Lawn,335,28,67,118,105.4,130.6,62,180.8,161.2,201.6,44,1525,38,
Cancer (all sites),67,West Englewood,413,17,83,220.5,199.2,241.8,28,237.9,215.2,261.7,17,2405,15,
Cancer (all sites),68,Englewood,378,23,76,232.1,208.7,255.5,23,251.2,226.4,277.2,12,2377,17,
Cancer (all sites),69,Greater Grand Crossing,503,9,101,297.6,271.6,323.6,6,269.7,246.4,294.1,2,2767,5,
Cancer (all sites),70,Ashburn,393,19,79,192.7,173.6,211.8,34,218.7,197.4,241.1,24,1772,30,
Cancer (all sites),71,Auburn Gresham,671,4,134,267.4,247.2,287.6,14,237.5,219.6,256,18,2650,7,
Cancer (all sites),72,Beverly,195,49,39,190.9,164.1,217.7,37,184.8,159.3,212.2,39,1539,37,
Cancer (all sites),73,Washington Heights,460,15,92,338.7,307.7,369.7,1,254.8,231.7,279,10,2790,4,
Cancer (all sites),74,Mount Greenwood,183,51,37,192.2,164.4,220,35,188.1,161.5,216.6,37,1459,41,
Cancer (all sites),75,Morgan Park,292,34,58,253,224,282,16,205.1,181.9,229.6,30,2367,18,
Cancer (all sites),76,O'Hare,100,70,20,158.8,127.7,189.9,44,141.4,115,170.6,69,1127,57,
Cancer (all sites),77,Edgewater,464,14,93,161,146.4,175.6,43,162.4,147.8,177.6,52,1349,47,
Cancer (all sites),0,Chicago,22758,,4552,166.4,164.2,168.6,,191.3,188.8,193.8,,1536,,
Colorectal cancer,1,Rogers Park,48,14,10,16.9,12.5,22.4,43,24.3,17.7,31.9,29,157,35,
Colorectal cancer,2,West Ridge,63,5,13,17.5,13.4,22.4,41,17.1,13.1,21.6,53,155,36,
Colorectal cancer,3,Uptown,49,13,10,17,12.6,22.5,42,19.2,14.2,25,46,110,48,
Colorectal cancer,4,Lincoln Square,11,67,2,5.4,2.7,9.7,76,7.1,3.5,12,77,35,76,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,5,North Center,25,41,5,15.7,10.2,23.2,48,25,16,36.1,26,141,38,
Colorectal cancer,6,Lake View,47,19,9,10,7.3,13.3,61,15.5,11.3,20.3,59,34,77,
Colorectal cancer,7,Lincoln Park,31,35,6,9.7,6.6,13.8,63,15.9,10.7,22.1,57,61,67,
Colorectal cancer,8,Near North Side,54,10,11,13.7,10.3,17.9,53,13.1,9.8,16.9,67,110,48,
Colorectal cancer,9,Edison Park,14,60,3,25,13.7,41.9,28,17.7,9.6,28.3,51,89,55,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,10,Norwood Park,59,8,12,31.8,24.2,41,13,18.8,14.2,24.2,48,154,37,
Colorectal cancer,11,Jefferson Park,35,31,7,27.4,19.1,38.1,21,21.9,15.2,29.8,40,97,53,
Colorectal cancer,12,Forest Glen,22,47,4,23.9,15,36.2,30,17.7,11,25.8,51,129,40,
Colorectal cancer,13,North Park,31,35,6,34.4,23.4,48.8,8,24.8,16.7,34.5,27,204,27,
Colorectal cancer,14,Albany Park,36,28,7,13.6,9.5,18.8,55,20.1,14,27.3,44,98,52,
Colorectal cancer,15,Portage Park,48,14,10,14.9,11,19.8,50,15.7,11.5,20.5,58,89,55,
Colorectal cancer,16,Irving Park,44,23,9,16.2,11.8,21.7,47,22,15.9,29.1,38,120,43,
Colorectal cancer,17,Dunning,61,6,12,29.1,22.3,37.4,17,22,16.8,27.9,38,123,42,
Colorectal cancer,18,Montclaire,15,57,3,22.6,12.6,37.3,33,20.8,11.5,32.8,41,119,44,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,19,Belmont Cragin,45,22,9,11.4,8.3,15.3,60,18.4,13.4,24.4,50,76,60,
Colorectal cancer,20,Hermosa,9,69,2,7.1,3.2,13.5,72,13.9,6.1,24.8,65,39,75,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,21,Avondale,19,54,4,9.5,5.7,14.8,64,15.1,9,22.8,64,75,61,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,22,Logan Square,28,40,6,7.5,5,10.8,70,13.6,8.9,19.3,66,81,57,
Colorectal cancer,23,Humboldt park,48,14,10,16.5,12.2,21.9,46,24.3,17.6,32.1,29,210,23,
Colorectal cancer,24,West Town,35,31,7,8.4,5.9,11.7,67,15.2,10.5,20.7,62,71,63,
Colorectal cancer,25,Austin,132,1,26,25.8,21.4,30.2,27,30.2,25,35.8,11,270,14,
Colorectal cancer,26,West Garfield Park,21,50,4,22.1,13.7,33.8,35,26.5,16.3,39.3,19,192,31,
Colorectal cancer,27,East Garfield Park,23,44,5,22.3,14.1,33.5,34,26.8,16.8,39,17,247,17,
Colorectal cancer,28,Near West Side,24,42,5,9,5.8,13.4,65,16.4,10.4,23.7,54,62,66,
Colorectal cancer,29,North Lawndale,51,11,10,27.5,20.5,36.2,20,35.4,26.3,45.9,2,235,19,
Colorectal cancer,30,South Lawndale,21,50,4,5.1,3.2,7.8,77,11.4,6.9,17.1,72,45,74,
Colorectal cancer,31,Lower West Side,12,64,2,6.4,3.3,11.2,73,11.8,6,19.4,71,47,72,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Coronary heart disease,11,Jefferson Park,247,28,49,193.5,169.4,217.6,7,146.4,128.5,165.4,34,982,26,
Colorectal cancer,32,Loop,12,64,2,9,4.7,15.7,65,13.1,6.5,22,67,63,65,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,33,Near South Side,13,61,3,13.7,7.3,23.4,53,18.6,9.8,30.2,49,59,68,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,34,Armour Square,22,47,4,33.5,21,50.7,9,23.9,14.9,34.9,32,212,21,
Colorectal cancer,35,Douglas,31,35,6,31.2,21.2,44.3,15,28.6,19.3,39.7,13,341,4,
Colorectal cancer,36,Oakland,4,76,1,13.4,3.7,34.3,56,19.2,5.2,42.1,46,49,71,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,37,Fuller Park,6,72,1,40.2,14.8,87.5,2,35.3,12.9,68.8,4,238,18,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,38,Grand Boulevard,31,35,6,26.8,18.2,38,23,25.7,17.4,35.5,22,307,11,
Colorectal cancer,39,Kenwood,36,28,7,40.1,28.1,55.5,4,33.1,23.1,44.9,7,210,23,
Colorectal cancer,40,Washington Park,12,64,2,19.7,10.2,34.4,38,31.3,15.9,51.8,10,212,21,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,41,Hyde Park,13,61,3,9.8,5.2,16.8,62,10.2,5.4,16.5,74,58,69,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,42,Woodlawn,24,42,5,19.7,12.6,29.3,38,20.7,13.2,29.9,42,289,13,
Colorectal cancer,43,South Shore,70,3,14,26,20.3,32.8,25,25.4,19.8,31.8,24,204,27,
Colorectal cancer,44,Chatham,46,21,9,28.5,20.9,38,19,20.7,15.1,27.2,42,119,44,
Colorectal cancer,45,Avalon Park,17,56,3,32.8,19.1,52.5,10,25.1,14.4,38.6,25,300,12,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,46,South Chicago,35,31,7,21.4,14.9,29.8,36,22.1,15.4,30.1,37,209,25,
Colorectal cancer,47,Burnside,6,72,1,40.1,14.7,87.3,4,40.6,14.6,79.6,1,449,1,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,48,Calumet Heights,36,28,7,50.5,35.4,69.9,1,34,23.5,46.4,5,409,2,
Colorectal cancer,49,Roseland,93,2,19,40.2,32.4,49.2,2,33.6,27.1,40.8,6,311,9,
Colorectal cancer,50,Pullman,11,67,2,28.8,14.4,51.5,18,28.4,14,47.9,14,311,9,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,51,South Deering,23,44,5,29.7,18.8,44.6,16,30.2,19,43.8,11,315,8,
Colorectal cancer,52,East Side,15,57,3,13,7.3,21.4,57,15.2,8.5,23.8,62,46,73,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,53,West Pullman,51,11,10,32.8,24.4,43.1,10,35.4,26.1,46.2,2,369,3,
Colorectal cancer,54,Riverdale,6,72,1,16.8,6.2,36.6,45,31.8,11.2,62.9,9,195,29,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,55,Hegewisch,13,61,3,27.4,14.6,46.9,21,22.8,12.1,37,35,185,32,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,56,Garfield Ridge,55,9,11,31.6,23.8,41.1,14,24.8,18.6,31.8,27,251,15,
Colorectal cancer,57,Archer Heights,4,76,1,6,1.6,15.4,75,7.3,2,15.9,76,100,51,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Coronary heart disease,12,Forest Glen,136,50,27,147.5,122.7,172.3,30,103.2,86.5,121.3,72,371,73,
Colorectal cancer,58,Brighton Park,18,55,4,8,4.7,12.6,68,12.7,7.3,19.5,69,126,41,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,59,McKinley Park,5,75,1,6.4,2.1,14.9,73,9.1,2.9,18.7,75,54,70,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,60,Bridgeport,23,44,5,14.2,9,21.3,52,16.3,10.2,23.6,56,118,46,
Colorectal cancer,61,New City,33,34,7,14.4,9.9,20.2,51,26.1,17.8,36.1,20,112,47,
Colorectal cancer,62,West Elsdon,7,71,1,7.9,3.2,16.3,69,10.3,4.1,19.3,73,77,58,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,63,Gage Park,15,57,3,7.5,4.2,12.4,70,16.4,8.9,26.2,54,65,64,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,64,Clearing,30,39,6,26.1,17.6,37.3,24,24.1,16.2,33.4,31,218,20,
Colorectal cancer,65,West Lawn,20,52,4,12.3,7.5,19,59,15.5,9.4,23.1,59,73,62,
Colorectal cancer,66,Chicago Lawn,48,14,10,16.9,12.5,22.4,43,26.7,19.4,35.2,18,208,26,
Colorectal cancer,67,West Englewood,40,25,8,21.4,15.3,29.1,36,23.2,16.5,31.1,34,193,30,
Colorectal cancer,68,Englewood,40,25,8,24.6,17.6,33.5,29,27.2,19.4,36.3,16,183,33,
Colorectal cancer,69,Greater Grand Crossing,60,7,12,35.5,27.1,45.7,6,32.5,24.7,41.4,8,338,5,
Colorectal cancer,70,Ashburn,48,14,10,23.5,17.3,31.2,31,27.4,20.1,35.7,15,181,34,
Colorectal cancer,71,Auburn Gresham,65,4,13,25.9,20,33,26,23.6,18.2,29.8,33,248,16,
Colorectal cancer,72,Beverly,20,52,4,19.6,12,30.3,40,19.7,11.9,29.4,45,95,54,
Colorectal cancer,73,Washington Heights,47,19,9,34.6,25.4,46,7,26.1,19,34.2,20,324,7,
Colorectal cancer,74,Mount Greenwood,22,47,4,23.1,14.5,35,32,22.6,14,33.1,36,131,39,
Colorectal cancer,75,Morgan Park,37,27,7,32.1,22.6,44.2,12,25.6,17.9,34.6,23,332,6,
Colorectal cancer,76,O'Hare,8,70,2,12.7,5.5,25,58,12.1,5.2,21.8,70,77,58,"Rate, confidence interval, and YPLL estimates are unreliable due to the very low number of reported deaths due to this cause during this period"
Colorectal cancer,77,Edgewater,44,23,9,15.3,11.1,20.5,49,15.5,11.3,20.5,59,110,48,
Colorectal cancer,0,Chicago,2496,,499,18.2,17.5,18.9,,21.2,20.3,22,,147,,
Coronary heart disease,1,Rogers Park,376,13,75,132.7,119.3,146.1,37,204.6,183.9,226.4,3,892,30,
Coronary heart disease,2,West Ridge,519,4,104,143.8,131.4,156.2,33,136.3,124.6,148.4,45,729,40,
Coronary heart disease,3,Uptown,578,2,116,200,183.7,216.3,5,213.6,196.3,231.6,2,1372,8,
